FID,region,cut,region_1,ine,comuna,provincia,shape_leng,cont,shape_le_1,shape_area,Shape__Area,Shape__Length
3097,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1189.32974261,0,1189.30308625,64367.2990756,180610.63671875,1992.2917983038
3098,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,2996.48750519,0,2996.412249,296477.223385,828700.86328125,5010.28830431243
3099,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,445.521149158,0,445.51051289,13341.2499359,37320.07421875,745.107112148173
3100,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1017.71470043,0,1017.68770106,58296.5066036,163094.11328125,1701.95852546029
3101,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,14672.7177042,0,14672.3460506,7184918.54157,20120367.5195313,24545.617762
3102,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,624.296151763,0,624.279331052,27150.3613921,76191.32421875,1045.52742087655
3103,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,7320.903801,0,7320.72080214,1892083.97436,5297729.140625,12243.5254324141
3104,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1572487.08975,0,1572446.81749,2697072612.86,7692522159.29297,2655198.14312969
3105,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1502.45009554,0,1502.41137969,102093.377185,285865.6875,2513.51401892325
3106,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,6505.16607243,0,6505.00369772,1199295.94877,3358784.59765625,10882.9263236556
3107,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,2411.94318026,0,2411.88112111,368846.821736,1035699.7890625,4041.96469750294
3108,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,946.180446825,0,946.157350559,47377.6574975,132446.66796875,1581.7870637194
3109,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1328.29587652,0,1328.26303492,87214.7290373,244317.13671875,2222.50611838958
3110,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,4563.76771276,0,4563.65088635,685396.727345,1919913.57421875,7634.84809266738
3111,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,919.365237255,0,919.344390324,45058.9547803,126163.34375,1537.31266334034
3112,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1158.52962665,0,1158.50104108,62744.0930927,175825.68359375,1939.00557253876
3113,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1063.75412638,0,1063.72793617,56110.1800874,157127.53125,1779.49042460277
3114,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,673.903051578,0,673.886211447,28934.3291812,80963.7265625,1127.16709824081
3115,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1234.86576006,0,1234.83349964,92458.9248016,259023.078125,2066.62108115953
3116,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,28814.4944847,0,28813.7693789,10577181.4316,29623167.5039063,48214.496462274
3117,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,708.995049541,0,708.977790714,32344.1289473,90645.45703125,1186.30055881825
3118,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,705.630433725,0,705.612400448,28048.4372649,78564.73046875,1180.34261370898
3119,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,574.975983953,0,574.964881321,21050.015205,59121.421875,963.431163245307
3120,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1101.89946306,0,1101.87019653,50530.323437,141579.05859375,1842.89284914585
3121,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,17738.7836809,0,17738.3349104,9872233.17759,27677157.1601563,29688.8109705065
3122,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,697.897340865,0,697.879769208,32962.8527101,92390.73046875,1168.66459345033
3123,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,4155.40950468,0,4155.30509601,595030.822691,1667934.9453125,6957.5327483738
3124,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1428.73214078,0,1428.69701882,130912.615079,366454.05078125,2390.5042638381
3125,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,813.605505268,0,813.586124807,37629.4428848,105469.37890625,1361.31580526198
3126,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,701.836388642,0,701.818639858,34058.022177,95422.5234375,1174.66043801097
3127,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,2256.61144832,0,2256.55396879,204345.834075,574116.4140625,3783.06991755264
3128,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,869.575231471,0,869.553028371,45930.4645484,129025.8359375,1457.64918633375
3129,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,2513.22358816,0,2513.16092703,224654.55853,628912.4765625,4204.62951330856
3130,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,982.878152516,0,982.852610881,65234.537272,182979.99609375,1646.39507029241
3131,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,18214.4387691,0,18213.9746468,8034865.00363,22548221.125,30513.4329024422
3132,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,5469.18424194,0,5469.04647287,641993.274501,1800238.95703125,9154.19884665997
